lavender  	floral	shrub flower	shrub flower	lavender
lilac  	floral	shrub flower	shrub flower	lilac
old wax 	floral	honey	honey	waxes
peony  	floral	garden flower	garden flower	peony
pink  	floral	shrub flower	shrub flower	rose
polenta	floral			
rose  	floral	shrub flower	shrub flower	rose
violet 	floral	garden flower	garden flower	violet
wax	floral	honey	honey	waxes
white flowers 	floral	garden flower	garden flower	white flowers
almond  	fruits	inshell dry fruits	inshell dry fruits	dried almond
amylic  	fruits	amylic	amylic	amylic
apple  	fruits	fresh fruits	fresh fruits	apple
apricot  	fruits	fresh fruits	fresh fruits	apricot
banana  	fruits	amylic	amylic	banana
bergamot	fruits	citrus fruits	citrus fruits	bergamot
black currant 	fruits	black fruits	fresh black fruits	black currant
black currant candy	fruits	black fruits		
black currant liqueur	fruits	black fruits	ripe or cooked black fruits	ripe or cooked black fruits
black fruit yoghurt	fruits	black fruits	ripe or cooked black fruits	compote
black fruits 	fruits	black fruits	black fruits	black fruits
blackberry	fruits	black fruits	fresh black fruits	blackberries
blackberry paste	fruits	black fruits	ripe or cooked black fruits	compote
blackcurrant buds 	fruits	black fruits	ripe or cooked black fruits	ripe or cooked black fruits
blackcurrant jam	fruits	black fruits	ripe or cookes black fruits	jam
blackcurrant paste 	fruits	black fruits	ripe or cooked black fruits	compote
blackcurrant syrup 	fruits	black fruits	ripe or cooked black fruits	ripe or cooked black fruits
blueberry  	fruits	black fruits	fresh black fruits	blueberries
brandy  	fruits	ripe or cooked fruits	ripe or cooked fruits	ripe or cooked fruits
candied citrus 	fruits	citrus fruits	citrus fruits	citrus fruits
candied fruit 	fruits	ripe or cooked fruits	ripe or cooked fruits	ripe or cooked fruits
candy cherry 	fruits	red fruits	ripe or cooked red fruits	
candy raspberry	fruits	red fruits	ripe or cooked red fruits	compote
caramelized  and cooked raspberries 	fruits	ripe or cooked red fruits	ripe or cooked red fruits	ripe or cooked red fruits
caramelized cooked cherries	fruits	ripe or cooked red fruits	ripe or cooked red fruits	ripe or cooked red fruits
cherry	fruits	red fruits	fresh red fruits	cherry
cherry brandy 	fruits	red fruits	ripe or cooked red fruits	cherry brandy
citrus  	fruits	citrus fruits	citrus fruits	citrus fruits
coconut  	fruits	inshell dry fruits	inshell dry fruits	coconut
compote	fruits	ripe or cooked fruits	ripe or cooked fruits	compote
concentrated red fruit	fruits	ripe or cooked red fruits	ripe or cooked red fruits	compote
cooked black currant 	fruits	black fruits	ripe or cooked black fruits	ripe or cooked black fruits
cooked black fruits	fruits	black fruits	ripe or cooked black fruits	ripe or cooked black fruits
cooked blackberries	fruits	black fruits	ripe or cooked black fruits	compote
cooked cherry 	fruits	ripe or cooked fruits	ripe or cooked fruits	ripe or cooked fruits
cooked fruit 	fruits	ripe or cooked fruits	ripe or cooked fruits	ripe or cooked fruits
cooked red berries	fruits	red fruits	ripe or cooked red fruits	ripe or cooked red fruits
cooked red fruit	fruits	red fruits	ripe or cooked red fruits	ripe or cooked red fruits
cooked strawberries 	fruits	ripe or cooked red fruits	ripe or cooked red fruits 	compote
cream of blackcurrant	fruits	black fruits	ripe or cooked black fruits	compote
currant  	fruits	red fruits	fresh red fruits	currant
dry apricot 	fruits	dried fruits	dried fruits	dried apricots
dry fig	fruits	dried fruits	dried fruits	dried figs
dry fruits 	fruits	dried fruits	dried fruits	prune
dry fruits 	fruits	dried fruits	dried fruits	dried fruits
english candy 	fruits	amylic	amylic	english candies
exotic  	fruits	exotic fruits	exotic fruits	exotic fruits
exotic fruit 	fruits	exotic fruits	exotic fruits	exotic fruits
exotic fruits	fruits	exotic fruits	exotic fruits	pineapple
fig  	fruits	fresh fruits	fresh fruits	fresh fruits
fresh black currant	fruits	black fruits	fresh black fruits	black currant
fresh blackberrie	fruits	black fruits	fresh black fruits	blackberries
fresh cherry 	fruits	red fruits	fresh red fruits	cherry
fresh citrus 	fruits	citrus fruits	citrus fruits	citrus fruits
fresh fruit 	fruits	fresh fruits	fresh fruits	fresh fruits
fresh red fruit	fruits	red fruits	fresh red fruits	fresh red fruits
fruit  	fruits	fruits	fruits	fruits
fruit paste 	fruits	ripe or cooked fruits	ripe or cooked fruits	compote
fruit yoghurt	fruits	ripe or cooked fruits		
Grand Marnier 	fruits	citrus fruits	citrus fruits	orange
granny apple 	fruits	fresh fruits	fresh fruits	apple
grape	fruits	dried fruits	dried fruits	grapes
grapefruit  	fruits	citrus fruits	citrus fruits	grapefruit
grapefruit zest 	fruits	fruits	citrus fruits	grapefruit
green apple 	fruits	fresh fruits	fresh fruits	apple
green fruit 	fruits	fresh fruits	fresh fruits	fresh fruits
grenadine	fruits	red fruits	fresh red fruits	grenadine
hazelnut  	fruits	inshell dry fruits	inshell dry fruits	hazelnut
isoamyl acetate 	fruits	amylic	amylic	isoamyl acetate
jam  	fruits	ripe or cooked fruits	ripe or cooked fruits	jam
jam berries	fruits	fresh fruits	ripe or cooked  fruits	jam
jam fruit	fruits	ripe or cooked fruits	ripe or cooked fruits	jam
kirch cherry	fruits	red fruits	ripe or cooked red fruits	compote
kirsch cherry 	fruits	red fruits	ripe or cooked red fruits	compote
kumquat  	fruits	citrus fruits	citrus fruits	citrus fruits
lemon	fruits	citrus fruits	citrus fruits	lemon
lime  	fruits	citrus fruits	citrus fruits	lime
litchi  	fruits	exotic fruits	exotic fruits	litchi
malabar  	fruits	red fruits	fresh red fruits	strawberry
mandarin  	fruits	citrus fruits	citrus fruits	mandarin
mango  	fruits	exotic fruits	exotic fruits	mango
marshmallow strawberry 	fruits	red fruits		
nut  	fruits	inshell dry fruits	inshell dry fruits	nuts
orange  	fruits	citrus fruits	citrus fruits	orange
orange juice	fruits	citrus fruits	citrus fruits	citrus fruits
passion fruit 	fruits	exotic fruits	exotic fruits	passion fruits
peach  	fruits	fresh fruits	fresh fruits	peach
pear  	fruits	fresh fruits	fresh fruits	fresh fruits
pear  	fruits	fresh fruits	fresh fruits	pear
pineapple  	fruits	exotic fruits	exotic fruits	pineapple
plum  	fruits	fresh fruits	fresh fruits	plum
plum brandy 	fruits	ripe or cooked fruits	ripe or cooked fruits	ripe or cooked fruits
prune  	fruits	dried fruits	dried fruits	prune
prune brandy 	fruits	dried fruits	dried fruits	dried fruits
quince  	fruits	fresh fruits	fresh fruits	quince
raspberry  	fruits	red fruits	fresh red fruits	raspberry
raspberry brandy 	fruits	red fruits	ripe or cooked red fruits	ripe or cooked red fruits
raspberry candy 	fruits	red fruits		
raspberry syrup	fruits	red fruits	ripe or cooked red fruits	compote
red berries 	fruits	red fruits	fresh red fruits	fresh red fruits
red cherry 	fruits	red fruits	fresh red fruits	cherry
red currant 	fruits	red fruits	fresh red fruits	currant
red fruits 	fruits	red fruits	red fruits	red fruits
rhubarb  	fruits	citrus fruits	citrus fruits	citrus fruits
ripe fruit	fruits	ripe or cooked fruits	ripe or cooked fruits	ripe or cooked fruits
ripe grapes 	fruits	ripe or cooked fruits	ripe or cooked fruits	ripe or cooked fruits
ripe raspberry 	fruits	red fruits	ripe or cooked red fruits	compote
ripe red fruits	fruits	red fruits	ripe or cooked red fruits	ripe or cooked red fruits
stewed  red fruit 	fruits	red fruits	ripe or cooked red fruits	compote
stewed apple 	fruits	ripe or cooked fruits	ripe or cooked fruits	compote
stewed strawberry 	fruits	red fruits	ripe or cooked red fruits	compote
stone fruit 	fruits	fresh fruits	fresh fruits	fresh fruits
strawberry  	fruits	red fruits	fresh red fruits	strawberry
strawberry jam 	fruits	red fruits	ripe or cooked red fruits	jam
strawberry syrup	fruits	red fruits	ripe or cooked red fruits	compote
